Harga Sebuah Loyalitas;;;;811 SUL s;Tasirun Sulaiman;YP.1194 NF;
Jalan Menikung;;;;813 KAY j;Umar Kayam;SLTP.034;
Teknik Menulis Cerita Rakyat;;;;808 RAM t;Korrie Layun Rampan;YP.6933NF;
Sang Alkemis;978-602-03-2305-3;PT. Gramedia Pustaka Utama;2019;813 PAU s;Paulu Coelho;YP.8636FI678FYP8678F;
Gending-Gending Karawitan Jawa Lengkap Slendro-Pelog Jilid 3;;;;781.6 KOP g.3.2;Ki Harsono Kodrat;SLTP 1085SLTP.1130;
Dictionary Of Slang ( Kamus Slang );;;;;M.T. Luthan;YP.537RYP.542RYP.543RYP.541R;
Mengenal Ilmu : Indera Perasa dan Pencium;979-8087-84-4;Grolier International Inc;2007;621.47 WRI m;Lilian Wright;SD.16511102;
Teleskop;;;;621 BEN t;;SLTP.4929;
Riset Menakjubkan - Memerangi Penyakit dan Mencapai Kesehatan Optimal;;Indonesia Publishing House;2009;641 NED r;Neil Nedley, M.D.;YP.3020NF;
Panduan Lengkap Kelapa Sawit;9790000000000;Penebar Sadaya;2008;634.5 PAH p.1;Iyung Pahan;YP.1515NF;
Hoegeng;;Pustaka Sinar Harapan;1994;920 YUS h.2;Abrar Yusra;SLTP.5177;
Peranan Indonesia di Dunia Internasional;9790000000000;Genesindo,;2010;327.1 SAN p.1;Budi Sanjaya;YP.6702NFYP.6699NFYP.6700NFYP.6701NFYP.6698NF;
Pedoman Pengajaran Apresiasi Puisi SLTP & SLTA untuk Guru dan Siswa;;;;808.1 SUM p.1;Drs.Sumardi;SLTP.5569;
Surat Bagimu Negeri;;Kompas;1999;303.48 MAN;Y.B. Mangunwijaya;YP.8550406;
